Airport, CitySt, Date, Time, Weather
KEVV,POSEY INDIANA,2019-12-10,18:21,KEVV 101820Z AUTO 30005KT 10SM CLR M02/M09 A3029 RMK T10201090 MADISHFEVV
KYNG,GREENE OHIO,2019-12-10,13:36,KYNG 101330Z AUTO 26014KT 10SM OVC023 03/M02 A2981 RMK T00301020 MADISHFYNG
KMKT,TRAVERSE MINNESOTA,2019-12-10,15:50,KMKT 101550Z AUTO 32011KT 10SM FEW036 M17/M20 A3022 RMK T11701200 MADISHFMKT
KRFD,WINNEBAGO ILLINOIS,2019-12-10,22:25,KRFD 102230Z AUTO 27009KT 10SM CLR M08/M16 A3026 RMK T10801160 MADISHFRFD
KAOH,MERCER OHIO,2019-12-10,04:16,KAOH 100410Z AUTO 25014KT 9SM OVC016 09/07 A2963 RMK T00900070 MADISHFAOH
KBTL,BEADLE SOUTH DAKOTA,2019-12-10,18:06,KBTL 101800Z AUTO 29011KT 9SM SCT019 BKN027 OVC039 M03/M08 A3004 RMK T10301080 MADISHFBTL
KBWI,CARROLL MARYLAND,2019-12-10,06:52,KBWI 100650Z AUTO 23009G17KT 10SM SCT011 12/09 A2979 RMK T01200090 MADISHFBWI
KTXK,GARLAND ARKANSAS,2019-12-10,18:05,KTXK 101810Z AUTO 04005KT 10SM -RA SCT015 BKN030 OVC038 03/02 A3032 RMK P0000 T00300020 MADISHFTXK
KMTW,MANITOWOC WISCONSIN,2019-12-10,16:52,KMTW 101650Z AUTO 28011KT 10SM CLR M09/M14 A3010 RMK T10901140 MADISHFMTW
KMSL,LAUDERDALE ALABAMA,2019-12-10,09:01,KMSL 100900Z AUTO 32010KT 9SM -RA BKN015 BKN060 OVC100 15/13 A2993 RMK P0000 T01500130 MADISHFMSL
KSBM,SHEBOYGAN WISCONSIN,2019-12-10,21:15,KSBM 102120Z AUTO 27011KT 10SM CLR M09/M15 A3012 RMK T10901150 MADISHFSBM
KCGI,JACKSON MISSOURI,2019-12-10,10:17,KCGI 101010Z AUTO 34015G20KT 10SM CLR M01/M08 A3014 RMK T10101080 MADISHFCGI
KBKL,HENRY OHIO,2019-12-10,11:07,KBKL 101100Z AUTO ///22KT 10SM FEW016 FEW023 OVC030 04/M01 A2978 RMK T00401010 MADISHFBKL
KLUK,MONTGOMERY OHIO,2019-12-10,02:06,KLUK 100200Z AUTO 22010KT 10SM FEW021 SCT026 OVC046 15/13 A2967 RMK T01500130 MADISHFLUK
KMFD,SHELBY OHIO,2019-12-10,07:06,KMFD 100700Z AUTO 25010KT 10SM SCT016 BKN024 OVC039 09/07 A2967 RMK T00900070 MADISHFMFD
KIND,LAWRENCE INDIANA,2019-12-10,15:32,KIND 101530Z AUTO 27009KT 10SM SCT023 M06/M10 A3017 RMK T10601100 MADISHFIND
KSUX,DIXON NEBRASKA,2019-12-10,17:37,KSUX 101730Z AUTO 33013KT 10SM CLR M09/M14 A3035 RMK T10901140 MADISHFSUX
KUGN,MCHENRY ILLINOIS,2019-12-10,10:02,KUGN 101000Z AUTO 29007KT 10SM OVC024 M06/M10 A2989 RMK T10601100 MADISHFUGN
KCID,LOUISA IOWA,2019-12-10,05:10,KCID 100510Z AUTO 30014G19KT 10SM CLR M13/M17 A2998 RMK T11301170 MADISHFCID
KY50,MARQUETTE WISCONSIN,2019-12-10,14:27,KY50 101420Z AUTO 31007KT 9SM -SN OVC018 M13/M16 A3007 RMK T11301160 MADISHFY50
KCMX,BARAGA MICHIGAN,2019-12-10,21:45,KCMX 102150Z AUTO 28011KT 1/2SM SN VV014 M13/M17 A2997 RMK T11301170 MADISHFCMX
KHZY,MADISON OHIO,2019-12-10,17:32,KHZY 101730Z AUTO 25014KT 10SM OVC023 01/M03 A2994 RMK T00101030 MADISHFHZY
KMIW,UNION IOWA,2019-12-10,10:11,KMIW 101010Z AUTO 31005KT 10SM OVC070 M12/M16 A3010 RMK T11201160 MADISHFMIW
KADG,FAYETTE OHIO,2019-12-10,07:05,KADG 100710Z AUTO 28016KT 10SM OVC018 01/M02 A2970 RMK T00101020 MADISHFADG
KMLU,CLAIBORNE LOUISIANA,2019-12-10,16:51,KMLU 101650Z AUTO ///14KT 4SM RA BR OVC009 06/04 A3028 RMK P0012 T00600040 CIG 7V13  MADISHFMLU
KMPV,ORANGE VERMONT,2019-12-10,03:46,KMPV 100340Z AUTO 18005KT 10SM BKN026 OVC030 07/06 A2956 RMK P0000 T00700060 MADISHFMPV
KMLC,KIOWA OKLAHOMA,2019-12-10,22:17,KMLC 102210Z AUTO 36004KT 10SM FEW120 06/M07 A3038 RMK T00601070 MADISHFMLC
KLWD,WORTH MISSOURI,2019-12-10,20:06,KLWD 102000Z AUTO 33011G18KT 10SM OVC030 M05/M12 A3029 RMK T10501120 MADISHFLWD
KMPV,ORANGE VERMONT,2019-12-10,04:57,KMPV 100450Z AUTO 19007KT 10SM BKN028 OVC032 09/07 RMK T00900070 MADISHFMPV
KLBF,LOGAN NEBRASKA,2019-12-10,05:16,KLBF 100510Z AUTO 33004KT 10SM BKN110 M05/M08 RMK T10501080 MADISHFLBF
KY50,MARQUETTE WISCONSIN,2019-12-10,12:47,KY50 101240Z AUTO 28011KT 7SM -SN OVC018 M13/M15 A3003 RMK T11301150 MADISHFY50
KY50,MARQUETTE WISCONSIN,2019-12-10,17:51,KY50 101750Z AUTO 27011KT 10SM FEW023 M11/M16 A3013 RMK T11101160 MADISHFY50
KHZY,MADISON OHIO,2019-12-10,23:16,KHZY 102310Z AUTO 25010KT 9SM -SN FEW045 OVC060 M02/M05 A3012 RMK T10201050 MADISHFHZY
KAOO,HUNTINGDON PENNSYLVANIA,2019-12-10,12:21,KAOO 101220Z AUTO 25007KT 10SM -RA FEW025 OVC065 12/08 A2977 RMK P0001 T01200080 MADISHFAOO
KSBM,SHEBOYGAN WISCONSIN,2019-12-10,17:06,KSBM 101700Z AUTO 27013KT 10SM OVC019 M10/M14 A3010 RMK T11001140 MADISHFSBM
KTXK,BRADLEY ARKANSAS,2019-12-10,07:15,KTXK 100720Z AUTO 35008KT 10SM OVC079 08/03 A3004 RMK T00800030 MADISHFTXK
KZZV,LICKING OHIO,2019-12-10,05:15,KZZV 100520Z AUTO 26013KT 9SM -RA FEW011 BKN021 OVC027 13/10 A2967 RMK P0001 T01300100 MADISHFZZV
KLUK,MONTGOMERY OHIO,2019-12-10,14:37,KLUK 101430Z AUTO 29011KT 10SM CLR M01/M07 A3014 RMK T10101070 MADISHFLUK
KVSF,WINDSOR VERMONT,2019-12-10,21:56,KVSF 102150Z AUTO 00000KT 10SM -RA FEW021 BKN027 OVC050 05/02 A2982 RMK P0000 T00500020 MADISHFVSF
KBWI,CARROLL MARYLAND,2019-12-10,02:02,KBWI 100200Z AUTO 22010KT 8SM -RA OVC007 10/08 A2980 RMK T01000080 MADISHFBWI
KMPV,ORANGE VERMONT,2019-12-10,15:26,KMPV 101520Z AUTO 22009KT 10SM OVC039 10/05 RMK T01000050 MADISHFMPV
KY50,MARQUETTE WISCONSIN,2019-12-10,17:22,KY50 101720Z AUTO 29010KT 9SM BKN016 M11/M16 A3013 RMK T11101160 MADISHFY50
KSLN,BARTON KANSAS,2019-12-10,07:00,KSLN 100700Z AUTO 19005KT 10SM CLR M09/M12 RMK T10901120 MADISHFSLN
KYNG,WARREN OHIO,2019-12-10,16:56,KYNG 101650Z AUTO 27010KT 10SM OVC021 01/M04 A2994 RMK T00101040 MADISHFYNG
KY50,MARQUETTE WISCONSIN,2019-12-10,13:31,KY50 101330Z AUTO 30011KT 9SM -SN OVC016 M13/M16 A3005 RMK T11301160 MADISHFY50
KBRL,KOSSUTH IOWA,2019-12-10,07:30,KBRL 100730Z AUTO 29009KT 10SM CLR M09/M14 A3009 RMK T10901140 MADISHFBRL
KSTJ,NODAWAY MISSOURI,2019-12-10,19:42,KSTJ 101940Z AUTO 31008KT 10SM FEW039 M01/M11 A3034 RMK T10101110 MADISHFSTJ
KMCD,MACKINAC MICHIGAN,2019-12-10,03:48,KMCD 100356Z AUTO 29014G22KT 2SM -SN SCT009 OVC014 M04/M04 A2944 RMK AO2 T10421042 400281043MCD
KIMT,FLORENCE WISCONSIN,2019-12-10,05:07,KIMT 100500Z AUTO 33011KT 6SM -SN OVC030 M09/M13 A2965 RMK T10901130 MADISHFIMT
KEFK,ORLEANS VERMONT,2019-12-10,06:13,KEFK 100616Z AUTO 17007KT 10SM BKN038 BKN044 OVC050 06/06 A2949 RMK AO2 T00620062EFK
KCGI,JACKSON MISSOURI,2019-12-10,10:57,KCGI 101050Z AUTO 34011KT 10SM CLR M01/M09 A3017 RMK T10101090 MADISHFCGI
KIRK,CLAY MISSOURI,2019-12-10,19:17,KIRK 101910Z AUTO 32010KT 10SM BKN036 M02/M09 A3026 RMK T10201090 MADISHFIRK
KMLU,CLAIBORNE LOUISIANA,2019-12-10,22:11,KMLU 102210Z AUTO 03008KT 4SM RA BR OVC009 04/03 A3035 RMK P0001 T00400030 CIG 6V13  MADISHFMLU
KIRK,MACON MISSOURI,2019-12-10,22:52,KIRK 102250Z AUTO 32008KT 10SM CLR M05/M11 A3032 RMK T10501110 MADISHFIRK
KAOH,MERCER OHIO,2019-12-10,14:31,KAOH 101430Z AUTO 24015KT 10SM OVC011 M04/M07 A3004 RMK T10401070 MADISHFAOH
KZZV,PUTNAM OHIO,2019-12-10,11:05,KZZV 101110Z AUTO 27016KT 10SM FEW026 BKN035 OVC044 08/02 A2980 RMK T00800020 MADISHFZZV
KMHK,RILEY KANSAS,2019-12-10,05:35,KMHK 100540Z AUTO 00000KT 10SM CLR M09/M12 A3017 RMK T10901120 MADISHFMHK
KBMG,SPENCER INDIANA,2019-12-10,08:45,KBMG 100850Z AUTO 29011G24KT 10SM BKN018 M02/M06 A2997 RMK T10201060 MADISHFBMG
KLWD,WORTH MISSOURI,2019-12-10,18:01,KLWD 101800Z AUTO 34011KT 10SM SCT031 M04/M12 A3027 RMK T10401120 MADISHFLWD
KMPO,LEHIGH PENNSYLVANIA,2019-12-10,01:27,KMPO 100120Z AUTO 21010KT 7SM -RA OVC004 06/06 A2971 RMK P0002 T00600060 MADISHFMPO
KBKL,HENRY OHIO,2019-12-10,21:36,KBKL 102130Z AUTO 23015KT 10SM OVC025 M01/M06 A3011 RMK T10101060 MADISHFBKL
KLBF,KEITH NEBRASKA,2019-12-10,04:56,KLBF 100450Z AUTO 30005KT 10SM FEW090 BKN110 M03/M07 RMK T10301070 MADISHFLBF
KYNG,GREENE OHIO,2019-12-10,14:46,KYNG 101440Z AUTO 27013KT 10SM OVC024 02/M03 A2987 RMK T00201030 MADISHFYNG
KENW,KENOSHA WISCONSIN,2019-12-10,20:07,KENW 102000Z AUTO 26011KT 10SM CLR M06/M13 A3014 RMK T10601130 MADISHFENW
KENW,KENOSHA WISCONSIN,2019-12-10,02:36,KENW 100230Z AUTO 29021G29KT 10SM OVC018 M01/M04 A2963 RMK T10101040 MADISHFENW
KCGI,JACKSON MISSOURI,2019-12-10,17:57,KCGI 101750Z AUTO 30004KT 10SM CLR M01/M09 A3034 RMK T10101090 MADISHFCGI
KHAO,ROSS OHIO,2019-12-10,10:10,KHAO 101010Z AUTO 28009KT 10SM OVC021 02/M01 A2994 RMK T00201010 MADISHFHAO
KMIW,UNION IOWA,2019-12-10,15:27,KMIW 101520Z AUTO 31007KT 10SM FEW014 OVC029 M10/M13 A3021 RMK T11001130 MADISHFMIW
KCVG,DELAWARE INDIANA,2019-12-10,05:42,KCVG 100540Z AUTO 27011KT 10SM BKN022 OVC030 11/08 A2976 RMK T01100080 MADISHFCVG
KY50,MARQUETTE WISCONSIN,2019-12-10,03:06,KY50 100300Z AUTO 29014KT 10SM BKN025 OVC047 M05/M07 A2970 RMK T10501070 MADISHFY50
KDFI,DEFIANCE OHIO,2019-12-10,03:42,KDFI 100340Z AUTO 24013G20KT 10SM FEW023 SCT037 OVC055 09/05 A2959 RMK T00900050 MADISHFDFI
KYNG,WARREN OHIO,2019-12-10,16:36,KYNG 101630Z AUTO 27011KT 10SM OVC019 01/M04 A2994 RMK T00101040 MADISHFYNG
KMKT,NICOLLET MINNESOTA,2019-12-10,04:45,KMKT 100450Z AUTO 29011KT 10SM CLR M18/M23 A3000 RMK T11801230 MADISHFMKT
KHZY,ASHTABULA OHIO,2019-12-10,13:42,KHZY 101340Z AUTO 27011KT 10SM OVC019 02/M01 A2984 RMK T00201010 MADISHFHZY
KCMX,KEWEENAW MICHIGAN,2019-12-10,11:25,KCMX 101130Z AUTO 30008KT 7SM -SN OVC027 M13/M17 A2985 RMK T11301170 MADISHFCMX
KMFD,SHELBY OHIO,2019-12-10,06:00,KMFD 100600Z AUTO 25013KT 10SM BKN016 BKN038 OVC046 10/07 A2965 RMK T01000070 MADISHFMFD
KMPV,ORANGE VERMONT,2019-12-10,13:30,KMPV 101330Z AUTO 22010KT 10SM FEW029 BKN036 BKN075 11/06 RMK T01100060 MADISHFMPV
KIRK,CLAY MISSOURI,2019-12-10,09:45,KIRK 100950Z AUTO 26005KT 10SM CLR M09/M12 A3015 RMK T10901120 MADISHFIRK
KBKL,HENRY OHIO,2019-12-10,10:10,KBKL 101010Z AUTO 26019KT 10SM OVC021 04/00 A2973 RMK T00400000 MADISHFBKL
KLNK,LINCOLN NEBRASKA,2019-12-10,11:01,KLNK 101100Z AUTO 25002KT 10SM SCT065 M06/M09 A3017 RMK T10601090 MADISHFLNK
KHZY,MADISON OHIO,2019-12-10,18:02,KHZY 101800Z AUTO 25016KT 10SM OVC021 00/M03 A2995 RMK T00001030 MADISHFHZY
KGBD,RUSH KANSAS,2019-12-10,07:17,KGBD 100710Z AUTO 22007KT 10SM CLR M08/M11 A3015 RMK T10801110 MADISHFGBD
KYNG,WARREN OHIO,2019-12-10,15:52,KYNG 101550Z AUTO 27013KT 10SM OVC019 01/M04 A2993 RMK T00101040 MADISHFYNG
KCMX,BARAGA MICHIGAN,2019-12-10,15:00,KCMX 101500Z AUTO 32011KT 1SM -SN VV014 M13/M16 A2990 RMK T11301160 MADISHFCMX
KCXY,BERKS PENNSYLVANIA,2019-12-10,21:30,KCXY 102130Z AUTO 28014KT 10SM -RA BKN065 BKN075 OVC110 12/04 A2993 RMK T01200040 MADISHFCXY
KJLN,SHERMAN KANSAS,2019-12-10,22:17,KJLN 102210Z AUTO 26007KT 10SM CLR 04/M07 A3035 RMK T00401070 MADISHFJLN
KHTL,GLADWIN MICHIGAN,2019-12-10,19:21,KHTL 101920Z AUTO 25010KT 10SM FEW032 BKN041 OVC047 M06/M12 A2996 RMK T10601120 MADISHFHTL
KMKG,MUSKEGON MICHIGAN,2019-12-10,05:06,KMKG 100500Z AUTO 30011KT 1SM -SN BR BKN008 OVC014 01/M01 A2964 RMK T00101010 MADISHFMKG
KBTL,BEADLE SOUTH DAKOTA,2019-12-10,01:17,KBTL 100110Z AUTO ///19KT 9SM BKN016 OVC025 08/07 A2947 RMK T00800070 MADISHFBTL
KUGN,MCHENRY ILLINOIS,2019-12-10,12:26,KUGN 101220Z AUTO 28005KT 10SM BKN019 BKN050 M07/M12 A2997 RMK T10701120 VRB06G17KT  MADISHFUGN
KMTW,KEWAUNEE WISCONSIN,2019-12-10,06:32,KMTW 100630Z AUTO 32011KT 9SM -SN BKN025 OVC030 M06/M09 A2977 RMK T10601090 MADISHFMTW
KMBS,ARENAC MICHIGAN,2019-12-10,11:32,KMBS 101130Z AUTO 28014KT 10SM OVC023 M02/M07 A2979 RMK T10201070 MADISHFMBS
KMSN,PIERCE WISCONSIN,2019-12-10,18:45,KMSN 101850Z AUTO 30009G16KT 10SM M09/M18 A3013 RMK T10901180 WND 26V33  MADISHFMSN
KYNG,MAHONING OHIO,2019-12-10,16:47,KYNG 101640Z AUTO 25010G15KT 10SM OVC019 01/M04 A2993 RMK T00101040 MADISHFYNG
KCMX,ONTONAGON MICHIGAN,2019-12-10,17:36,KCMX 101730Z AUTO 32013KT 1/4SM +SN VV008 M12/M16 A2994 RMK P0000 T11201160 MADISHFCMX
KLWD,SALINE MISSOURI,2019-12-10,06:35,KLWD 100640Z AUTO 23007KT 10SM CLR M11/M13 A3010 RMK T11101130 MADISHFLWD
KADG,FAYETTE OHIO,2019-12-10,05:31,KADG 100530Z AUTO 30015KT 10SM OVC016 04/02 A2963 RMK T00400020 MADISHFADG
KY50,MARQUETTE WISCONSIN,2019-12-10,06:36,KY50 100630Z AUTO 30013KT 8SM -SN OVC016 M09/M11 A2984 RMK T10901110 MADISHFY50
KHZY,MADISON OHIO,2019-12-10,15:02,KHZY 101500Z AUTO 27013KT 10SM BKN024 OVC029 02/M02 A2993 RMK T00201020 MADISHFHZY
KFDK,FREDERICK MARYLAND,2019-12-10,04:15,KFDK 100420Z AUTO 20007KT 10SM OVC009 10/09 A2978 RMK AO2FDK
KLUK,MONTGOMERY OHIO,2019-12-10,01:16,KLUK 100110Z AUTO 21011KT 10SM BKN019 OVC029 15/13 A2965 RMK T01500130 MADISHFLUK
KMSN,PIERCE WISCONSIN,2019-12-10,09:27,KMSN 100920Z AUTO 28008KT 4SM -SN BKN016 OVC022 M08/M11 A2993 RMK T10801110 MADISHFMSN
KSBM,SHEBOYGAN WISCONSIN,2019-12-10,23:47,KSBM 102340Z AUTO 26008KT 10SM CLR M09/M16 A3019 RMK T10901160 MADISHFSBM
KDDC,FORD KANSAS,2019-12-10,12:16,KDDC 101210Z AUTO 26010KT 10SM OVC079 M01/M09 A3017 RMK T10101090 MADISHFDDC
KMFD,BUTLER OHIO,2019-12-10,08:30,KMFD 100830Z AUTO 24014G20KT 10SM OVC018 06/01 A2971 RMK T00600010 MADISHFMFD
KMFD,SHELBY OHIO,2019-12-10,18:36,KMFD 101830Z AUTO 25007KT 10SM OVC009 M03/M06 A3004 RMK T10301060 CIG 8V13  MADISHFMFD
KPHL,PHILADELPHIA PENNSYLVANIA,2019-12-10,03:12,KPHL 100310Z AUTO 22015KT 10SM -RA OVC009 12/10 A2979 RMK T01200100 MADISHFPHL
KCMX,KEWEENAW MICHIGAN,2019-12-10,09:10,KCMX 100910Z AUTO 34008KT 3SM -SN FEW021 OVC029 M12/M16 A2979 RMK T11201160 MADISHFCMX
KGCC,WESTON WYOMING,2019-12-10,10:31,KGCC 101030Z AUTO 19002KT 10SM BKN032 OVC100 M14/M16 A3007 RMK T11401160 MADISHFGCC
KIML,CHASE NEBRASKA,2019-12-10,09:31,KIML 100930Z AUTO 29005KT 10SM SCT110 M04/M08 A3009 RMK T10401080 MADISHFIML
KGRR,NEWAYGO MICHIGAN,2019-12-10,09:15,KGRR 100920Z AUTO 32016KT 6SM -SN BKN012 BKN019 OVC026 M02/M05 A2976 RMK T10201050 MADISHFGRR
KY50,MARQUETTE WISCONSIN,2019-12-10,11:00,KY50 101100Z AUTO 29010KT 9SM OVC019 M12/M15 A2998 RMK T11201150 MADISHFY50
KYNG,WARREN OHIO,2019-12-10,19:05,KYNG 101910Z AUTO 25010KT 10SM OVC016 M01/M06 A3001 RMK T10101060 MADISHFYNG
KYNG,WARREN OHIO,2019-12-10,16:30,KYNG 101630Z AUTO 27011KT 10SM OVC019 01/M04 A2994 RMK T00101040 MADISHFYNG
KCSM,CUSTER OKLAHOMA,2019-12-10,12:12,KCSM 101210Z AUTO 33005KT 10SM CLR M03/M07 A3021 RMK T10301070 MADISHFCSM
