Airport, CitySt, Weather, Time
KYNG,WARREN OHIO,KYNG 030800Z AUTO 33005KT 9SM SCT013 OVC025 M02/M04 A3012 RMK T10201040 MADISHFYNG,08:00
KBWI,CARROLL MARYLAND,KBWI 171600Z AUTO 07009KT 10SM OVC046 01/M05 A3037 RMK T00101050 MADISHFBWI,16:00
KBOS,SUFFOLK MASSACHUSETTS,KBOS 191800Z AUTO 07006KT 10SM OVC032 M01/M11 A3028 RMK T10101110 MADISHFBOS,18:00
KIJD,TOLLAND CONNECTICUT,KIJD 192000Z AUTO 13004KT 10SM OVC046 02/M07 A3019 RMK T00201070 VRB04KT  MADISHFIJD,20:00
KCVG,UNION KENTUCKY,KCVG 191700Z AUTO 06010KT 2SM RA BR OVC003 03/03 A2967 RMK P0001 T00300030 MADISHFCVG,17:00
KEHR,HENDERSON KENTUCKY,KEHR 191700Z AUTO 33008KT 1 1/2SM -RA BR OVC003 07/06 A2959 RMK T00700060 MADISHFEHR,17:00
KCNK,JEWELL KANSAS,KCNK 221000Z AUTO 34007KT 10SM OVC018 01/M01 A2969 RMK T00101010 MADISHFCNK,10:00
KRMG,CHATTOOGA GEORGIA,KRMG 290500Z AUTO 16003KT 10SM OVC065 09/03 A2988 RMK T00900030 MADISHFRMG,05:00
KABY,WALKER GEORGIA,KABY 290500Z AUTO 20005KT 10SM CLR 07/03 A3004 RMK T00700030 MADISHFABY,05:00
KILG,CALVERT MARYLAND,KILG 200500Z AUTO 00000KT 10SM CLR 00/M12 A3061 RMK T00001120 MADISHFILG,05:00
KABE,NORTHAMPTON PENNSYLVANIA,KABE 080100Z AUTO 14004KT 10SM BKN065 00/M09 A3032 RMK T00001090 MADISHFABE,01:00
KPHL,PHILADELPHIA PENNSYLVANIA,KPHL 122000Z AUTO 16003KT 10SM FEW100 01/M16 A3051 RMK T00101160 MADISHFPHL,20:00
KBMG,SPENCER INDIANA,KBMG 111800Z AUTO 10005KT 10SM CLR M01/M06 A3034 RMK T10101060 MADISHFBMG,18:00
KLBB,DICKENS TEXAS,KLBB 021750Z AUTO 29007KT 10SM OVC022 M02/M08 A3014 RMK T10201080 MADISHFLBB,17:45
KSET,KANE ILLINOIS,KSET 220900Z AUTO 14011KT 10SM CLR M04/M09 A3015 RMK T10401090 MADISHFSET,09:00
KRSL,OSBORNE KANSAS,KRSL 221000Z AUTO 35014G20KT 8SM OVC007 M03/M03 A2969 RMK T10301030 MADISHFRSL,10:00
KCMX,KEWEENAW MICHIGAN,KCMX 220900Z AUTO 16007KT 9SM SCT044 OVC075 M08/M14 A3017 RMK T10801140 MADISHFCMX,09:00
KCXY,BERKS PENNSYLVANIA,KCXY 080100Z AUTO 13008KT 10SM CLR 01/M09 A3028 RMK T00101090 MADISHFCXY,01:00
KFFT,BALLARD KENTUCKY,KFFT 111600Z AUTO 08007KT 10SM CLR M01/M07 A3040 RMK T10101070 MADISHFFFT,16:00
KHOP,HOPKINS KENTUCKY,KHOP 191800Z AUTO 16005KT 10SM -DZ SCT007 SCT012 13/13 A2950 RMK AO2 SLP991HOP,18:00
KHSI,CLAY NEBRASKA,KHSI 111800Z AUTO 02005KT 10SM OVC100 01/M03 A3004 RMK T00101030 MADISHFHSI,18:00
KBUY,ALAMANCE NORTH CAROLINA,KBUY 122100Z AUTO 05004KT 10SM OVC060 04/M08 A3039 RMK T00401080 MADISHFBUY,21:00
KLNK,DOUGLAS NEBRASKA,KLNK 181700Z AUTO 06008KT 1SM BR OVC003 M02/M02 A2995 RMK T10201020 MADISHFLNK,17:00
KLOZ,LIVINGSTON KENTUCKY,KLOZ 111700Z AUTO 10006KT 10SM CLR 00/M07 A3034 RMK T00001070 MADISHFLOZ,17:00
KCVG,CRITTENDEN KENTUCKY,KCVG 111700Z AUTO 08004KT 9SM BKN021 OVC022 M02/M07 A3037 RMK T10201070 MADISHFCVG,17:00
KFFT,CHRISTIAN KENTUCKY,KFFT 191800Z AUTO 17011KT 2 1/2SM RA BR BKN007 BKN030 OVC070 10/09 A2957 RMK P0002 T01000090 MADISHFFFT,18:00
KPAH,MASSAC ILLINOIS,KPAH 191600Z AUTO 34013KT 2SM RA BR OVC004 07/06 A2959 RMK P0000 T00700060 MADISHFPAH,16:00
KUGN,MCHENRY ILLINOIS,KUGN 220900Z AUTO 16009KT 10SM CLR M07/M13 A3026 RMK T10701130 MADISHFUGN,09:00
KMPO,LEHIGH PENNSYLVANIA,KMPO 080100Z AUTO 14008KT 10SM SCT024 SCT050 M06/M13 A3021 RMK T10601130 MADISHFMPO,01:00
KLUK,CALDWELL KENTUCKY,KLUK 111700Z AUTO 07003KT 10SM OVC026 M01/M07 A3043 RMK T10101070 VRB03KT  MADISHFLUK,17:00
KCVG,UNION KENTUCKY,KCVG 111800Z AUTO 10003KT 10SM SCT023 BKN100 00/M07 A3036 RMK T00001070 VRB03KT  MADISHFCVG,18:00
KSLN,BARTON KANSAS,KSLN 190900Z AUTO 06006KT 9SM CLR M07/M09 RMK T10701090 MADISHFSLN,09:00
KRFD,WINNEBAGO ILLINOIS,KRFD 220800Z AUTO 14015KT 10SM FEW110 M11/M16 A3023 RMK T11101160 MADISHFRFD,08:00
KVPZ,PORTER INDIANA,KVPZ 220900Z AUTO 14011G16KT 10SM CLR M09/M16 A3029 RMK T10901160 MADISHFVPZ,09:00
KMFD,SHELBY OHIO,KMFD 121000Z AUTO 13004KT 8SM CLR M06/M08 A3034 RMK T10601080 MADISHFMFD,10:00
KAOH,MERCER OHIO,KAOH 121000Z AUTO 10006KT 10SM BKN120 M03/M07 A3032 RMK T10301070 MADISHFAOH,10:00
KIAD,FAIRFAX VIRGINIA,KIAD 102100Z AUTO 20005KT 10SM OVC100 03/M09 A3046 RMK T00301090 MADISHFIAD,21:00
KCMX,BARAGA MICHIGAN,KCMX 010100Z AUTO 02015G20KT 7SM -SN OVC009 M07/M11 A2998 RMK T10701110 MADISHFCMX,01:00
KEHR,HENDERSON KENTUCKY,KEHR 111800Z AUTO 12006KT 10SM BKN090 01/M07 A3034 RMK T00101070 MADISHFEHR,18:00
KSET,HARDIN ILLINOIS,KSET 191600Z AUTO 01019G24KT 1SM -SN BR SCT009 OVC015 00/M02 A2987 RMK T00001020 MADISHFSET,16:00
KCMX,ONTONAGON MICHIGAN,KCMX 070100Z AUTO 12017KT 10SM CLR M03/M08 A3018 RMK T10301080 MADISHFCMX,01:00
KCNK,RICE KANSAS,KCNK 062000Z AUTO 02011KT 7SM OVC009 M08/M10 A2992 RMK T10801100 MADISHFCNK,20:00
KROA,ROCKINGHAM VIRGINIA,KROA 200300Z AUTO 15008KT 10SM OVC060 04/M03 A3054 RMK T00401030 MADISHFROA,03:00
KROA,ROCKINGHAM VIRGINIA,KROA 101900Z AUTO 25004KT 10SM BKN100 03/M11 A3051 RMK T00301110 MADISHFROA,19:00
KCXY,BERKS PENNSYLVANIA,KCXY 290700Z AUTO 11006KT 10SM OVC039 M02/M11 A2996 RMK T10201110 MADISHFCXY,07:00
KMPO,LEHIGH PENNSYLVANIA,KMPO 290730Z AUTO 11006KT 10SM SCT120 M09/M15 A2988 RMK T10901150 MADISHFMPO,07:30
KCXY,BERKS PENNSYLVANIA,KCXY 191700Z AUTO 13008KT 10SM OVC036 02/M03 A3015 RMK T00201030 MADISHFCXY,17:00
KMPO,LEHIGH PENNSYLVANIA,KMPO 191700Z AUTO 10007KT 10SM OVC024 M03/M08 A3011 RMK T10301080 MADISHFMPO,17:00
KABE,NORTHAMPTON PENNSYLVANIA,KABE 191730Z AUTO 11006KT 10SM OVC038 02/M07 A3018 RMK T00201070 MADISHFABE,17:30
KCGI,BOLLINGER MISSOURI,KCGI 111500Z AUTO 13005KT 10SM FEW079 OVC110 M01/M06 A3036 RMK T10101060 MADISHFCGI,15:00
KCNK,JEWELL KANSAS,KCNK 211600Z AUTO 12015KT 10SM CLR M06/M08 A2990 RMK T10601080 MADISHFCNK,16:00
KGLD,WALLACE KANSAS,KGLD 221200Z AUTO 36021G28KT 10SM OVC012 M08/M09 A2982 RMK T10801090 MADISHFGLD,12:00
KRSL,CHEYENNE KANSAS,KRSL 220900Z AUTO 34013KT 9SM SCT006 BKN013 M03/M03 A2967 RMK T10301030 MADISHFRSL,09:00
KJLN,SHERMAN KANSAS,KJLN 220800Z AUTO 16020G26KT 10SM OVC029 07/00 A2984 RMK T00700000 MADISHFJLN,08:00
KIOW,BUCHANAN IOWA,KIOW 220800Z AUTO 13011KT 10SM OVC060 M07/M11 A3011 RMK T10701110 MADISHFIOW,08:00
KABE,NORTHAMPTON PENNSYLVANIA,KABE 290830Z AUTO 05005KT 10SM SCT079 M06/M12 A2998 RMK T10601120 MADISHFABE,08:30
KJLN,CARTER MISSOURI,KJLN 111400Z AUTO 15010KT 10SM OVC047 03/01 A3013 RMK T00300010 MADISHFJLN,14:00
KBNA,FRANKLIN TENNESSEE,KBNA 290300Z AUTO 28005KT 10SM -RA FEW036 OVC048 07/04 A2989 RMK T00700040 MADISHFBNA,03:00
KLXT,RIPLEY MISSOURI,KLXT 111400Z AUTO /////KT 10SM -RA OVC047 03/00 A3013 RMK T00300000 MADISHFLXT,14:00
KPOF,STODDARD MISSOURI,KPOF 111500Z AUTO 09003KT 9SM BKN070 OVC085 M01/M03 A3035 RMK T10101030 MADISHFPOF,15:00
KJEF,SCOTT MISSOURI,KJEF 111500Z AUTO 13008KT 10SM BKN055 OVC079 03/M04 A3025 RMK T00301040 MADISHFJEF,15:00
KDFW,TARRANT TEXAS,KDFW 020800Z AUTO 34011KT 10SM OVC019 01/M03 A3028 RMK T00101030 MADISHFDFW,08:00
KGCC,WESTON WYOMING,KGCC 211300Z AUTO 22016KT 10SM CLR 03/M03 RMK T00301030 MADISHFGCC,13:00
KABI,HASKELL TEXAS,KABI 020310Z AUTO 01008KT 9SM OVC009 M02/M04 A3029 RMK T10201040 MADISHFABI,03:05
K1M4,CLARKE ALABAMA,K1M4 290600Z AUTO 32008KT 10SM RA SCT024 BKN033 OVC039 07/06 A2995 RMK T00700060 MADISHF1M4,06:00
KBMG,SPENCER INDIANA,KBMG 191900Z AUTO 02015G20KT 2SM -RA BR OVC006 02/01 A2960 RMK T00200010 MADISHFBMG,19:00
KEWK,SEDGWICK KANSAS,KEWK 062000Z AUTO 02012KT 1/2SM FZFG OVC002 M06/M06 A2985 RMK T10601060 MADISHFEWK,20:00
KMKL,CARROLL TENNESSEE,KMKL 191500Z AUTO 16005KT 6SM -RA BR OVC079 14/13 A2957 RMK P0000 T01400130 MADISHFMKL,15:00
KCMX,BARAGA MICHIGAN,KCMX 240800Z AUTO 27004KT 6SM -SN BKN011 OVC036 M08/M11 A2965 RMK T10801110 MADISHFCMX,08:00
KFFT,BALLARD KENTUCKY,KFFT 191600Z AUTO 10004KT 5SM -RA BR BKN008 OVC013 08/07 A2968 RMK P0000 T00800070 MADISHFFFT,16:00
KLEX,CARLISLE KENTUCKY,KLEX 191600Z AUTO 14010KT 7SM -RA SCT016 OVC070 07/06 A2969 RMK T00700060 MADISHFLEX,16:00
KDYR,HICKMAN KENTUCKY,KDYR 191600Z AUTO 26013KT 5SM +RA BR FEW004 BKN022 OVC027 13/13 A2957 RMK T01300130 MADISHFDYR,16:00
KMKL,GIBSON TENNESSEE,KMKL 191500Z AUTO 16005KT 6SM -RA BR OVC079 14/13 A2957 RMK P0000 T01400130 MADISHFMKL,15:00
KBNA,WILLIAMSON TENNESSEE,KBNA 300200Z AUTO 21005KT 10SM CLR M03/M15 A3017 RMK T10301150 MADISHFBNA,02:00
KJCT,MENARD TEXAS,KJCT 020200Z AUTO 04008KT 7SM OVC007 01/M01 A3026 RMK T00101010 MADISHFJCT,02:00
KFOE,HARVEY KANSAS,KFOE 062000Z AUTO 01009KT 2 1/2SM BR OVC004 M05/M07 A2989 RMK T10501070 MADISHFFOE,20:00
KACT,ERATH TEXAS,KACT 031000Z AUTO 33012KT 3SM UP BR OVC006 02/01 A3003 RMK P0000 T00200010 MADISHFACT,10:00
KPAH,MASSAC ILLINOIS,KPAH 111700Z AUTO 11005KT 10SM OVC090 02/M07 A3031 RMK T00201070 MADISHFPAH,17:00
KPAH,FULTON KENTUCKY,KPAH 191600Z AUTO 34013KT 2SM RA BR OVC004 07/06 A2959 RMK P0000 T00700060 MADISHFPAH,16:00
KDDH,BENNINGTON VERMONT,KDDH 290900Z AUTO 14013KT 10SM CLR M06/M13 A2995 RMK T10601130 MADISHFDDH,09:00
KHUT,KINGMAN KANSAS,KHUT 062000Z AUTO 03008KT 3SM BR OVC004 M06/M06 A2986 RMK T10601060 MADISHFHUT,20:00
KGZH,JACKSON ALABAMA,KGZH 290200Z AUTO 19004KT 10SM CLR 10/03 A3001 RMK T01000030 MADISHFGZH,02:00
KSET,HARDIN ILLINOIS,KSET 111800Z AUTO 14008KT 10SM OVC075 01/M06 A3027 RMK T00101060 MADISHFSET,18:00
KLOZ,LIVINGSTON KENTUCKY,KLOZ 191600Z AUTO 11005KT 5SM RA BR FEW049 SCT055 OVC075 08/07 A2972 RMK P0000 T00800070 MADISHFLOZ,16:00
KHUT,MCPHERSON KANSAS,KHUT 062000Z AUTO 03008KT 3SM BR OVC004 M06/M06 A2986 RMK T10601060 MADISHFHUT,20:00
KCMX,ONTONAGON MICHIGAN,KCMX 080600Z AUTO 27021G27KT 10SM OVC009 01/M02 A2950 RMK T00101020 MADISHFCMX,06:00
KIAD,FAIRFAX VIRGINIA,KIAD 010700Z AUTO 00000KT 10SM CLR M13/M16 A3042 RMK T11301160 MADISHFIAD,07:00
KDFI,PAULDING OHIO,KDFI 121100Z AUTO 07005KT 10SM FEW120 M04/M07 A3037 RMK T10401070 MADISHFDFI,11:00
KCVG,CRITTENDEN KENTUCKY,KCVG 191700Z AUTO 06010KT 2SM RA BR OVC003 03/03 A2967 RMK P0001 T00300030 MADISHFCVG,17:00
KLUK,CALDWELL KENTUCKY,KLUK 191700Z AUTO 04006KT 3SM RA BR OVC009 04/03 A2971 RMK P0000 T00400030 MADISHFLUK,17:00
KSLN,BARTON KANSAS,KSLN 062000Z AUTO 01012KT 4SM BR OVC006 M07/M07 RMK T10701070 MADISHFSLN,20:00
KHTL,ALGER MICHIGAN,KHTL 081600Z AUTO 18005KT 4SM -RA BR BKN006 OVC044 02/01 A2964 RMK T00200010 MADISHFHTL,16:00
KHTL,ALGER MICHIGAN,KHTL 090800Z AUTO 31013KT 10SM FEW016 BKN047 OVC070 M06/M09 A2987 RMK T10601090 MADISHFHTL,08:00
KMNM,MENOMINEE MICHIGAN,KMNM 101000Z AUTO 00000KT 10SM OVC095 M14/M17 A3059 RMK T11401170 MADISHFMNM,10:00
KDAY,UNION OHIO,KDAY 010100Z AUTO 19005KT 4SM -SN OVC039 M12/M17 A3034 RMK T11201170 MADISHFDAY,01:00
KHZY,MADISON OHIO,KHZY 010100Z AUTO 23003KT 10SM CLR M18/M25 A3036 RMK T11801250 MADISHFHZY,01:00
KZZV,LICKING OHIO,KZZV 010100Z AUTO 00000KT 10SM OVC110 M13/M21 A3038 RMK T11301210 MADISHFZZV,01:00
KADG,FAYETTE OHIO,KADG 010100Z AUTO 24003KT 10SM BKN120 M19/M27 A3037 RMK T11901270 MADISHFADG,01:00
KHAO,ROSS OHIO,KHAO 010100Z AUTO 00000KT 10SM OVC039 M09/M17 A3037 RMK T10901170 MADISHFHAO,01:00
KYNG,WARREN OHIO,KYNG 010100Z AUTO 22003KT 10SM M16/M23 A3031 RMK T11601230 MADISHFYNG,01:00
KMFD,BUTLER OHIO,KMFD 010100Z AUTO 21008KT 10SM OVC110 M14/M20 A3030 RMK T11401200 MADISHFMFD,01:00
KMPO,LEHIGH PENNSYLVANIA,KMPO 201030Z AUTO 00000KT 10SM CLR M08/M11 A3044 RMK T10801110 MADISHFMPO,10:30
KABE,NORTHAMPTON PENNSYLVANIA,KABE 201100Z AUTO 07008KT 10SM CLR M02/M12 A3054 RMK T10201120 MADISHFABE,11:00
KPHL,PHILADELPHIA PENNSYLVANIA,KPHL 201030Z AUTO 07007KT 10SM M01/M12 A3056 RMK T10101120 MADISHFPHL,10:30
KMFD,BUTLER OHIO,KMFD 101000Z AUTO 09004KT 9SM CLR M10/M11 A3055 RMK T11001110 MADISHFMFD,10:00
KSUX,DIXON NEBRASKA,KSUX 031900Z AUTO 04003KT 1/2SM FG OVC002 08/08 A2960 RMK T00800080 MADISHFSUX,19:00
KSBM,SHEBOYGAN WISCONSIN,KSBM 261700Z AUTO 03007KT 10SM OVC090 M13/M19 A3054 RMK T11301190 MADISHFSBM,17:00
KDTN,CADDO LOUISIANA,KDTN 081610Z AUTO 02009KT 10SM CLR 00/M07 A3067 RMK T00001070 MADISHFDTN,16:12
KTPL,SMITH TEXAS,KTPL 081610Z AUTO 35012KT 10SM SCT075 BKN100 M02/M08 A3062 RMK T10201080 MADISHFTPL,16:12
KGGG,GREGG TEXAS,KGGG 081610Z AUTO 04012KT 10SM CLR M01/M07 A3062 RMK T10101070 MADISHFGGG,16:12
KACT,HARRISON TEXAS,KACT 081610Z AUTO 02010KT 10SM CLR M02/M10 A3067 RMK T10201100 MADISHFACT,16:12
KSHV,PANOLA TEXAS,KSHV 081610Z AUTO 03011KT 10SM CLR M01/M07 A3064 RMK T10101070 MADISHFSHV,16:12
KAQO,CHEROKEE TEXAS,KAQO 081610Z AUTO 02003KT 10SM CLR 01/M07 A3067 RMK AO2AQO,16:12
KOCH,NACOGDOCHES TEXAS,KOCH 081610Z AUTO 36007KT 10SM SCT100 OVC120 M01/M06 A3063 RMK T10101060 MADISHFOCH,16:12
KYNG,GREENE OHIO,KYNG 101000Z AUTO 09006KT 10SM M11/M13 A3060 RMK T11101130 MADISHFYNG,10:00
KCMX,ONTONAGON MICHIGAN,KCMX 201000Z AUTO 00000KT 10SM CLR M17/M21 A3015 RMK T11701210 MADISHFCMX,10:00
KDTN,BOSSIER LOUISIANA,KDTN 081610Z AUTO 02009KT 10SM CLR 00/M07 A3067 RMK T00001070 MADISHFDTN,16:12
KBPT,SABINE TEXAS,KBPT 081610Z AUTO 01015KT 10SM OVC110 06/M04 A3052 RMK T00601040 MADISHFBPT,16:12
KLUK,MONTGOMERY OHIO,KLUK 101000Z AUTO 04003KT 10SM CLR M06/M08 A3055 RMK T10601080 MADISHFLUK,10:00
KDAY,UNION OHIO,KDAY 101000Z AUTO 10006KT 10SM CLR M07/M11 A3054 RMK T10701110 MADISHFDAY,10:00
KEYE,FAYETTE INDIANA,KEYE 200100Z AUTO 08009KT 10SM CLR 00/M06 A3038 RMK T00001060 MADISHFEYE,01:00
KMNM,MENOMINEE MICHIGAN,KMNM 230100Z AUTO 22003KT 10SM CLR M03/M08 A3037 RMK T10301080 MADISHFMNM,01:00
KDFI,DEFIANCE OHIO,KDFI 120100Z AUTO 06011KT 8SM OVC009 M02/M04 A3012 RMK T10201040 MADISHFDFI,01:00
KDFI,PAULDING OHIO,KDFI 120100Z AUTO 06011KT 8SM OVC009 M02/M04 A3012 RMK T10201040 MADISHFDFI,01:00
KADG,FAYETTE OHIO,KADG 200100Z AUTO 08004KT 10SM CLR M04/M09 A3052 RMK T10401090 MADISHFADG,01:00
KYNG,GREENE OHIO,KYNG 200100Z AUTO 13004KT 10SM CLR M03/M10 A3053 RMK T10301100 MADISHFYNG,01:00
KZZV,LICKING OHIO,KZZV 200100Z AUTO 07005KT 10SM CLR 00/M07 A3048 RMK T00001070 MADISHFZZV,01:00
KFNB,NEMAHA NEBRASKA,KFNB 231200Z AUTO 04005KT 4SM BR OVC003 01/00 A2986 RMK T00100000 MADISHFFNB,12:00
KZZV,PUTNAM OHIO,KZZV 120100Z AUTO 06005KT 6SM -RA BR OVC004 03/01 A3009 RMK P0000 T00300010 MADISHFZZV,01:00
KLUK,MONTGOMERY OHIO,KLUK 200100Z AUTO 05005KT 10SM CLR 01/M05 A3045 RMK T00101050 MADISHFLUK,01:00
KHAO,ROSS OHIO,KHAO 200100Z AUTO 09007KT 10SM CLR 01/M04 A3045 RMK T00101040 MADISHFHAO,01:00
KMFD,SHELBY OHIO,KMFD 200100Z AUTO 09007KT 10SM CLR M03/M07 A3048 RMK T10301070 MADISHFMFD,01:00
KDAY,UNION OHIO,KDAY 200100Z AUTO 08008KT 10SM M01/M06 A3045 RMK T10101060 MADISHFDAY,01:00
KHZY,MADISON OHIO,KHZY 200100Z AUTO 00000KT 10SM CLR M06/M10 A3056 RMK T10601100 MADISHFHZY,01:00
KBKL,NOBLE OHIO,KBKL 010100Z AUTO 22012KT 10SM CLR M14/M24 A3038 RMK T11401240 MADISHFBKL,01:00
KZZV,COSHOCTON OHIO,KZZV 010100Z AUTO 00000KT 10SM OVC110 M13/M21 A3038 RMK T11301210 MADISHFZZV,01:00
KY50,MARQUETTE WISCONSIN,KY50 261700Z AUTO 07008KT 10SM OVC065 M14/M20 A3055 RMK T11401200 MADISHFY50,17:00
KMLU,CLAIBORNE LOUISIANA,KMLU 081610Z AUTO 02012KT 10SM CLR 01/M06 A3064 RMK T00101060 MADISHFMLU,16:12
KPHL,PHILADELPHIA PENNSYLVANIA,KPHL 102200Z AUTO 21010KT 10SM 02/M11 A3050 RMK T00201110 MADISHFPHL,22:00
KUCP,COLUMBIANA OHIO,KUCP 200100Z AUTO 11003KT 10SM CLR M03/M09 A3054 RMK T10301090 MADISHFUCP,01:00
KPHD,GUERNSEY OHIO,KPHD 200100Z AUTO 07006KT 10SM CLR M02/M07 A3053 RMK T10201070 MADISHFPHD,01:00
KCVG,HARRISON OHIO,KCVG 200100Z AUTO 09011KT 10SM 01/M06 A3042 RMK T00101060 MADISHFCVG,01:00
KBKL,NOBLE OHIO,KBKL 200100Z AUTO 05005KT 10SM CLR M03/M08 A3055 RMK T10301080 MADISHFBKL,01:00
KPHD,TUSCARAWAS OHIO,KPHD 200100Z AUTO 07006KT 10SM CLR M02/M07 A3053 RMK T10201070 MADISHFPHD,01:00
KZZV,PUTNAM OHIO,KZZV 200400Z AUTO 07006KT 10SM CLR M01/M08 A3040 RMK T10101080 MADISHFZZV,04:00
KUCP,ARMSTRONG PENNSYLVANIA,KUCP 200100Z AUTO 11003KT 10SM CLR M03/M09 A3054 RMK T10301090 MADISHFUCP,01:00
KBTP,BUTLER PENNSYLVANIA,KBTP 200100Z AUTO 08005KT 10SM CLR M04/M09 A3053 RMK T10401090 MADISHFBTP,01:00
KDFI,PAULDING OHIO,KDFI 200400Z AUTO 09006KT 10SM CLR M03/M06 A3045 RMK T10301060 MADISHFDFI,04:00
KBKL,HENRY OHIO,KBKL 200500Z AUTO 04006KT 10SM CLR M03/M07 A3045 RMK T10301070 MADISHFBKL,05:00
KDFI,DEFIANCE OHIO,KDFI 200500Z AUTO 08005KT 10SM CLR M03/M06 A3040 RMK T10301060 MADISHFDFI,05:00
KMLU,OUACHITA LOUISIANA,KMLU 081610Z AUTO 02012KT 10SM CLR 01/M06 A3064 RMK T00101060 MADISHFMLU,16:12
KHLC,NORTON KANSAS,KHLC 231100Z AUTO 05007KT 1/4SM FZFG VV002 M01/M01 A2978 RMK T10101010 MADISHFHLC,11:00
